model,timepoint,n_samples,total_Zfp423_mean,frac_SZfp423_mean,frac_LZfp423_mean,evidence_strength,comment
C3H10T1/2,D0,0,NA,NA,NA,insufficient,No qualified samples processed.
C3H10T1/2,D1,0,NA,NA,NA,insufficient,No qualified samples processed.
C3H10T1/2,D2,0,NA,NA,NA,insufficient,No qualified samples processed.
C3H10T1/2,D3,0,NA,NA,NA,insufficient,No qualified samples processed.
C3H10T1/2,D4,0,NA,NA,NA,insufficient,No qualified samples processed.
C3H10T1/2,D6,0,NA,NA,NA,insufficient,No qualified samples processed.
C3H10T1/2,D8,0,NA,NA,NA,insufficient,No qualified samples processed.
